id	iri
GO:0031941-BFO:0000050-ZFA:0009117-PATO:0001997-0-0-0	ZP:0000252
GO:0032982-BFO:0000050-ZFA:0009117-PATO:0001630-0-0-0	ZP:0000253
0-0-GO:0021520-PATO:0001507-0-0-0	ZP:0000254
0-0-GO:0021530-PATO:0001507-0-0-0	ZP:0000255
ZFA:0009169-BFO:0000050-ZFA:0000075-PATO:0000462-0-0-0	ZP:0000256
ZFA:0009169-BFO:0000050-ZFA:0000075-PATO:0001997-0-0-0	ZP:0000257
ZFA:0009247-BFO:0000050-ZFA:0000075-PATO:0001997-0-0-0	ZP:0000258
ZFA:0009292-BFO:0000050-ZFA:0000075-PATO:0000937-0-0-0	ZP:0000259
ZFA:0009292-BFO:0000050-ZFA:0000075-PATO:0001997-0-0-0	ZP:0000260
ZFA:0009301-BFO:0000050-ZFA:0000101-PATO:0000470-0-0-0	ZP:0000261
0-0-GO:0001946-PATO:0000297-0-0-0	ZP:0000262
0-0-ZFA:0005110-PATO:0000645-0-0-0	ZP:0000263
0-0-ZFA:0009395-PATO:0000645-0-0-0	ZP:0000264
0-0-GO:0001946-PATO:0001507-0-0-0	ZP:0000265
0-0-ZFA:0000250-PATO:0000406-0-0-0	ZP:0000266
0-0-ZFA:0000250-PATO:0000599-0-0-0	ZP:0000267
0-0-ZFA:0000692-PATO:0000587-0-0-0	ZP:0000268
0-0-ZFA:0001205-PATO:0000051-0-0-0	ZP:0000269
0-0-ZFA:0001399-PATO:0000936-0-0-0	ZP:0000270
0-0-ZFA:0001422-PATO:0001154-0-0-0	ZP:0000271
0-0-ZFA:0001422-PATO:0001617-0-0-0	ZP:0000272
0-0-ZFA:0005110-PATO:0000462-0-0-0	ZP:0000273
0-0-ZFA:0005110-PATO:0001442-0-0-0	ZP:0000274
0-0-GO:0001840-PATO:0001236-0-0-0	ZP:0000275
0-0-GO:0014003-PATO:0000297-0-0-0	ZP:0000276
0-0-GO:0021654-PATO:0001507-0-0-0	ZP:0000277
0-0-GO:0021865-PATO:0002051-0-0-0	ZP:0000278
0-0-GO:0022015-PATO:0002051-0-0-0	ZP:0000279
0-0-GO:0039014-PATO:0001507-0-0-0	ZP:0000280
0-0-GO:0048709-PATO:0000460-0-0-0	ZP:0000281
0-0-ZFA:0000012-PATO:0001396-0-0-0	ZP:0000282
GO:0008219-BFO:0000066-ZFA:0000029-PATO:0000912-0-0-0	ZP:0000283
ZFA:0001486-BFO:0000050-ZFA:0000029-PATO:0000937-0-0-0	ZP:0000284
ZFA:0009248-BFO:0000050-ZFA:0000029-PATO:0000470-0-0-0	ZP:0000285
ZFA:0009306-BFO:0000050-ZFA:0000029-PATO:0001629-0-0-0	ZP:0000286
ZFA:0005314-BFO:0000050-ZFA:0000079-PATO:0001482-0-0-0	ZP:0000287
ZFA:0005314-BFO:0000050-ZFA:0000079-PATO:0001571-0-0-0	ZP:0000288
ZFA:0005314-BFO:0000050-ZFA:0000079-PATO:0001714-0-0-0	ZP:0000289
0-0-ZFA:0000132-PATO:0000051-0-0-0	ZP:0000290
0-0-ZFA:0000151-PATO:0001396-0-0-0	ZP:0000291
ZFA:0005250-BFO:0000050-ZFA:0000445-PATO:0001957-0-0-0	ZP:0000292
ZFA:0005314-BFO:0000050-ZFA:0000445-PATO:0001957-0-0-0	ZP:0000293
ZFA:0001083-BFO:0000050-ZFA:0000505-PATO:0002002-0-0-ZFA:0009292	ZP:0000294
ZFA:0009292-BFO:0000050-ZFA:0000505-PATO:0002102-0-0-0	ZP:0000295
ZFA:0009248-BFO:0000050-ZFA:0001314-PATO:0000470-0-0-0	ZP:0000296
0-0-ZFA:0005304-PATO:0001444-0-0-0	ZP:0000297
0-0-ZFA:0005304-PATO:0001714-0-0-0	ZP:0000298
0-0-ZFA:0005304-PATO:0002105-0-0-0	ZP:0000299
0-0-ZFA:0005304-PATO:0002181-0-0-0	ZP:0000300
0-0-ZFA:0009063-PATO:0000574-0-0-0	ZP:0000301
0-0-GO:0001756-PATO:0001624-0-0-0	ZP:0000302
0-0-GO:0007049-PATO:0000297-0-0-0	ZP:0000303
0-0-GO:0008283-PATO:0002052-0-0-0	ZP:0000304
0-0-GO:0009790-PATO:0000297-0-0-0	ZP:0000305
0-0-ZFA:0001094-PATO:0001422-0-0-0	ZP:0000306
GO:0035282-BFO:0000066-ZFA:0001117-PATO:0000297-0-0-0	ZP:0000307
0-0-ZFA:0001477-PATO:0000647-0-0-0	ZP:0000308
0-0-ZFA:0009090-PATO:0001997-0-0-0	ZP:0000309
0-0-GO:0000387-PATO:0002302-0-0-0	ZP:0000310
0-0-GO:0006915-PATO:0002051-0-0-0	ZP:0000311
0-0-GO:0030576-PATO:0002302-0-0-0	ZP:0000312
0-0-GO:0045292-PATO:0002052-0-0-0	ZP:0000313
ZFA:0009000-BFO:0000050-ZFA:0001094-PATO:0000638-0-0-0	ZP:0000314
ZFA:0009000-BFO:0000050-ZFA:0001094-PATO:0001422-0-0-0	ZP:0000315
GO:0015030-BFO:0000050-ZFA:0009000-PATO:0001997-0-0-0	ZP:0000316
GO:0030532-BFO:0000050-ZFA:0009000-PATO:0001630-0-0-0	ZP:0000317
0-0-GO:0014032-PATO:0001507-0-0-0	ZP:0000318
0-0-ZFA:0000008-PATO:0001853-0-0-0	ZP:0000319
0-0-ZFA:0000029-PATO:0001853-0-0-0	ZP:0000320
0-0-ZFA:0000110-PATO:0000586-0-0-0	ZP:0000321
0-0-ZFA:0000128-PATO:0001853-0-0-0	ZP:0000322
0-0-ZFA:0000159-PATO:0000586-0-0-0	ZP:0000323
0-0-ZFA:0001094-PATO:0000587-0-0-0	ZP:0000324
ZFA:0009091-BFO:0000050-ZFA:0001115-PATO:0001997-0-0-0	ZP:0000325
ZFA:0009091-BFO:0000050-ZFA:0001117-PATO:0001997-0-0-0	ZP:0000326
0-0-ZFA:0005178-PATO:0000470-0-0-0	ZP:0000327
0-0-ZFA:0009091-PATO:0000060-0-0-0	ZP:0000328
0-0-ZFA:0009091-PATO:0001997-0-0-0	ZP:0000329
0-0-ZFA:0009165-PATO:0001997-0-0-0	ZP:0000330
0-0-ZFA:0009248-PATO:0000470-0-0-0	ZP:0000331
0-0-GO:0003007-PATO:0001507-0-0-0	ZP:0000332
0-0-GO:0007368-PATO:0001507-0-0-0	ZP:0000333
0-0-GO:0007507-PATO:0000502-0-0-0	ZP:0000334
0-0-GO:0008015-PATO:0001507-0-0-0	ZP:0000335
0-0-GO:0021794-PATO:0001236-0-0-0	ZP:0000336
0-0-GO:0021794-PATO:0002302-0-0-0	ZP:0000337
0-0-GO:0021881-PATO:0001507-0-0-0	ZP:0000338
0-0-GO:0030900-PATO:0001507-0-0-0	ZP:0000339
0-0-GO:0048048-PATO:0001507-0-0-0	ZP:0000340
0-0-GO:0050673-PATO:0002051-0-0-0	ZP:0000341
0-0-GO:0060070-PATO:0002051-0-0-0	ZP:0000342
0-0-GO:0061381-PATO:0000502-0-0-0	ZP:0000343
0-0-ZFA:0000019-PATO:0000586-0-0-0	ZP:0000344
ZFA:0009127-BFO:0000050-ZFA:0000019-PATO:0000470-0-0-0	ZP:0000345
ZFA:0009248-BFO:0000050-ZFA:0000019-PATO:0000470-0-0-0	ZP:0000346
0-0-ZFA:0000022-PATO:0000001-0-0-0	ZP:0000347
0-0-ZFA:0000047-PATO:0000462-0-0-0	ZP:0000348
0-0-ZFA:0000048-PATO:0001483-0-0-0	ZP:0000349
0-0-ZFA:0000050-PATO:0000462-0-0-0	ZP:0000350
0-0-ZFA:0000059-PATO:0001483-0-0-0	ZP:0000351
BSPO:0000029-BFO:0000050-ZFA:0000060-PATO:0000587-0-0-0	ZP:0000352
0-0-ZFA:0000079-PATO:0000587-0-0-0	ZP:0000353
0-0-ZFA:0000079-PATO:0001483-0-0-0	ZP:0000354
0-0-ZFA:0000107-PATO:0000001-0-0-0	ZP:0000355
0-0-ZFA:0000107-PATO:0000462-0-0-0	ZP:0000356
0-0-ZFA:0000107-PATO:0001483-0-0-0	ZP:0000357
0-0-ZFA:0000109-PATO:0000001-0-0-0	ZP:0000358
0-0-ZFA:0000109-PATO:0000587-0-0-0	ZP:0000359
0-0-ZFA:0000114-PATO:0001199-0-0-0	ZP:0000360
ZFA:0009316-BFO:0000050-ZFA:0000114-PATO:0000638-0-0-0	ZP:0000361
ZFA:0009316-BFO:0000050-ZFA:0000114-PATO:0001997-0-0-0	ZP:0000362
0-0-ZFA:0000149-PATO:0001199-0-0-0	ZP:0000363
0-0-ZFA:0000162-PATO:0000586-0-0-0	ZP:0000364
ZFA:0009053-BFO:0000050-ZFA:0000162-PATO:0001921-0-0-0	ZP:0000365
0-0-ZFA:0000571-PATO:0001483-0-0-0	ZP:0000366
0-0-ZFA:0000574-PATO:0000586-0-0-0	ZP:0000367
0-0-ZFA:0000653-PATO:0001396-0-0-0	ZP:0000368
ZFA:0009034-BFO:0000050-ZFA:0000706-PATO:0000470-0-0-0	ZP:0000369
ZFA:0009034-BFO:0000050-ZFA:0001076-PATO:0000470-0-0-0	ZP:0000370
BSPO:0000013-BFO:0000050-ZFA:0001094-PATO:0000638-0-0-0	ZP:0000371
BSPO:0000013-BFO:0000050-ZFA:0001094-PATO:0001617-0-0-0	ZP:0000372
0-0-ZFA:0001108-PATO:0001483-0-0-0	ZP:0000373
0-0-ZFA:0001114-PATO:0000638-0-0-0	ZP:0000374
0-0-ZFA:0001114-PATO:0000639-0-0-0	ZP:0000375
