affected_entity_1_rel	affected_entity_1_sub	affected_entity_1_super	affected_entity_2_rel	affected_entity_2_sub	affected_entity_2_super	id	iri	pato_id	pattern
BFO:0000050	ZFA:0009301	ZFA:0000402				ZFA:0009301-BFO:0000050-ZFA:0000402-PATO:0001997-0-0-0	ZP:0000080	PATO:0001997	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityPartOfThing.yaml
		ZFA:0000554				0-0-ZFA:0000554-PATO:0000937-0-0-0	ZP:0000081	PATO:0000937	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000554				0-0-ZFA:0000554-PATO:0001786-0-0-0	ZP:0000082	PATO:0001786	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000940				0-0-ZFA:0000940-PATO:0000646-0-0-0	ZP:0000083	PATO:0000646	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000940				0-0-ZFA:0000940-PATO:0001997-0-0-0	ZP:0000084	PATO:0001997	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001157				0-0-ZFA:0001157-PATO:0000411-0-0-0	ZP:0000085	PATO:0000411	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001157				0-0-ZFA:0001157-PATO:0001870-0-0-0	ZP:0000086	PATO:0001870	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001472				0-0-ZFA:0001472-PATO:0001997-0-0-0	ZP:0000087	PATO:0001997	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0009125				0-0-ZFA:0009125-PATO:0000060-0-0-0	ZP:0000088	PATO:0000060	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
BFO:0000050	GO:0030424	ZFA:0009125				GO:0030424-BFO:0000050-ZFA:0009125-PATO:0000574-0-0-0	ZP:0000089	PATO:0000574	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityPartOfThing.yaml
