affected_entity_1_sub	affected_entity_1_super	affected_entity_2_super	defined_class	pato_id
BSPO:0000075	ZFA:0000152	ZFA:0009127	ZP:0018870	PATO:0002000
BSPO:0000075	ZFA:0000152	ZFA:0009127	ZP:0018872	PATO:0001999
GO:0032421	ZFA:0000166	ZFA:0000166	ZP:0019220	PATO:0000133
GO:0032421	ZFA:0009367	ZFA:0000243	ZP:0019221	PATO:0000133
GO:0032421	ZFA:0000030	ZFA:0000030	ZP:0019222	PATO:0000133
GO:0030424	ZFA:0009238	ZFA:0009135	ZP:0019242	PATO:0002000
BSPO:0000079	ZFA:0005024	ZFA:0005314	ZP:0019367	PATO:0002002
ZFA:0005559	ZFA:0001285	ZFA:0001135	ZP:0019375	PATO:0002168
BSPO:0000079	ZFA:0005024	ZFA:0005559	ZP:0019377	PATO:0002002
ZFA:0009114	ZFA:0000155	ZFA:0001089	ZP:0019729	PATO:0001435
BSPO:0000075	ZFA:0000152	ZFA:0009262	ZP:0019821	PATO:0002001
ZFA:0009114	ZFA:0000155	ZFA:0000155	ZP:0019902	PATO:0001453
BSPO:0000078	ZFA:0000112	ZFA:0005775	ZP:0020599	PATO:0002000
BSPO:0000075	ZFA:0001115	ZFA:0001513	ZP:0020865	PATO:0002001
GO:0005811	ZFA:0000123	ZFA:0000123	ZP:0020995	PATO:0002270
GO:0005859	ZFA:0005784	ZFA:0001089	ZP:0021223	PATO:0002269
ZFA:0000098	ZFA:0000449	ZFA:0009000	ZP:0021550	PATO:0002001
ZFA:0000098	ZFA:0000516	ZFA:0009000	ZP:0021551	PATO:0002001
ZFA:0005147	ZFA:0000075	ZFA:0009248	ZP:0021703	PATO:0001905
ZFA:0000243	ZFA:0005147	ZFA:0009363	ZP:0021736	PATO:0002001
GO:0005776	ZFA:0005147	ZFA:0000383	ZP:0021884	PATO:0002270
ZFA:0009000	ZFA:0005064	ZFA:0000009	ZP:0021896	PATO:0002168
ZFA:0001486	ZFA:0000076	ZFA:0009026	ZP:0022052	PATO:0005016
ZFA:0009034	ZFA:0000076	ZFA:0009327	ZP:0022054	PATO:0002002
GO:0005884	ZFA:0005277	ZFA:0005277	ZP:0022151	PATO:0002269
BSPO:0000056	ZFA:0005023	ZFA:0009354	ZP:0022155	PATO:0002001
ZFA:0005147	ZFA:0000075	ZFA:0009248	ZP:0022334	PATO:0002001
ZFA:0005220	ZFA:0001114	ZFA:0009091	ZP:0022488	PATO:0001905
ZFA:0005220	ZFA:0001114	ZFA:0009091	ZP:0022494	PATO:0002002
BSPO:0000079	ZFA:0001094	ZFA:0009091	ZP:0022747	PATO:0002001
BSPO:0000079	ZFA:0001114	ZFA:0009091	ZP:0022749	PATO:0002001
BSPO:0000079	ZFA:0005024	ZFA:0009065	ZP:0022818	PATO:0002002
BSPO:0000079	ZFA:0005024	ZFA:0009065	ZP:0022821	PATO:0001555
ZFA:0009303	ZFA:0005604	ZFA:0005604	ZP:0023063	PATO:0001453
ZFA:0005844	ZFA:0000128	ZFA:0009065	ZP:0100097	PATO:0002000
BSPO:0000077	ZFA:0001558	ZFA:0009000	ZP:0100267	PATO:0002001
BSPO:0000077	ZFA:0001558	ZFA:0009000	ZP:0100268	PATO:0002002
ZFA:0009052	ZFA:0000206	ZFA:0001032	ZP:0100536	PATO:0002168
ZFA:0009052	ZFA:0000206	ZFA:0000823	ZP:0100538	PATO:0002168
BSPO:0000070	ZFA:0001338	ZFA:0009327	ZP:0100611	PATO:0002002
BSPO:0000070	ZFA:0000114	ZFA:0005145	ZP:0100649	PATO:0002002
ZFA:0000123	ZFA:0000242	ZFA:0009082	ZP:0100817	PATO:0002002
BSPO:0000072	ZFA:0005023	ZFA:0009354	ZP:0101124	PATO:0002002
BSPO:0000070	ZFA:0000150	ZFA:0009309	ZP:0101430	PATO:0002002
ZFA:0001058	ZFA:0001269	ZFA:0009036	ZP:0101507	PATO:0001905
BSPO:0000070	ZFA:0001076	ZFA:0009165	ZP:0101543	PATO:0002000
BSPO:0000070	ZFA:0000112	ZFA:0009165	ZP:0101545	PATO:0002001
BSPO:0000070	ZFA:0000075	ZFA:0005604	ZP:0101590	PATO:0002001
ZFA:0005844	ZFA:0000128	ZFA:0009065	ZP:0101624	PATO:0002001
BSPO:0000030	ZFA:0000075	ZFA:0009076	ZP:0101798	PATO:0002001
BSPO:0000035	ZFA:0000075	ZFA:0009076	ZP:0101799	PATO:0002001
BSPO:0000072	ZFA:0000075	ZFA:0009076	ZP:0101800	PATO:0002001
BSPO:0000078	ZFA:0001338	ZFA:0005775	ZP:0101909	PATO:0002000
BSPO:0000078	ZFA:0001338	ZFA:0005775	ZP:0101973	PATO:0001905
MPATH:218	ZFA:0001094	ZFA:0005604	ZP:0102138	PATO:0002000
MPATH:218	ZFA:0001094	ZFA:0005314	ZP:0102177	PATO:0001999
MPATH:218	ZFA:0001094	ZFA:0005314	ZP:0102178	PATO:0002001
ZFA:0009043	ZFA:0000014	ZFA:0009327	ZP:0102184	PATO:0002002
BSPO:0000071	ZFA:0001094	ZFA:0009354	ZP:0102243	PATO:0002002
BSPO:0000072	ZFA:0001094	ZFA:0009354	ZP:0102244	PATO:0002001
BSPO:0000070	ZFA:0005025	ZFA:0009141	ZP:0102399	PATO:0002001
BSPO:0000070	ZFA:0005028	ZFA:0009141	ZP:0102402	PATO:0002002
ZFA:0005604	ZFA:0005025	ZFA:0009141	ZP:0102408	PATO:0001738
ZFA:0009036	ZFA:0000008	ZFA:0009036	ZP:0102451	PATO:0001505
ZFA:0005604	ZFA:0005053	ZFA:0005030	ZP:0103285	PATO:0001505
BSPO:0000127	ZFA:0000152	ZFA:0009262	ZP:0103569	PATO:0002000
BSPO:0000127	ZFA:0000152	ZFA:0009275	ZP:0103570	PATO:0002000
ZFA:0000403	ZFA:0000303	ZFA:0001565	ZP:0104042	PATO:0001905
ZFA:0000403	ZFA:0000303	ZFA:0001566	ZP:0104044	PATO:0002001
ZFA:0000403	ZFA:0000303	ZFA:0001567	ZP:0104045	PATO:0002002
ZFA:0000403	ZFA:0000303	ZFA:0001566	ZP:0104060	PATO:0002000
GO:0043005	ZFA:0009125	ZFA:0005673	ZP:0104332	PATO:0002168
GO:0043005	ZFA:0009125	ZFA:0005674	ZP:0104334	PATO:0002168
BSPO:0000039	ZFA:0005240	ZFA:0009276	ZP:0104454	PATO:0001905
BSPO:0000083	ZFA:0005240	ZFA:0009276	ZP:0104459	PATO:0001999
BSPO:0000112	ZFA:0005240	ZFA:0009276	ZP:0104464	PATO:0001999
BSPO:0000039	ZFA:0005240	ZFA:0009276	ZP:0104540	PATO:0002001
BSPO:0000083	ZFA:0005240	ZFA:0009276	ZP:0104541	PATO:0001905
BSPO:0000083	ZFA:0005240	ZFA:0009276	ZP:0104542	PATO:0002002
BSPO:0000112	ZFA:0005240	ZFA:0009276	ZP:0104543	PATO:0002001
GO:0032421	ZFA:0000940	ZFA:0000940	ZP:0104552	PATO:0000133
BSPO:0000083	ZFA:0005240	ZFA:0009276	ZP:0104577	PATO:0002000
BSPO:0000083	ZFA:0005240	ZFA:0009276	ZP:0104578	PATO:0002001
BSPO:0000039	ZFA:0005240	ZFA:0009276	ZP:0104594	PATO:0002000
BSPO:0000071	ZFA:0001094	ZFA:0009256	ZP:0104607	PATO:0001999
BSPO:0000072	ZFA:0001094	ZFA:0009256	ZP:0104611	PATO:0001999
GO:0015629	ZFA:0009115	ZFA:0000610	ZP:0104797	PATO:0002269
BSPO:0000063	ZFA:0000152	ZFA:0009275	ZP:0105969	PATO:0002000
BSPO:0000063	ZFA:0000152	ZFA:0009262	ZP:0105970	PATO:0002001
BSPO:0000068	ZFA:0000152	ZFA:0009262	ZP:0105971	PATO:0002001
BSPO:0000068	ZFA:0000152	ZFA:0009275	ZP:0105972	PATO:0002001
BSPO:0000080	ZFA:0000445	ZFA:0009077	ZP:0105986	PATO:0002001
ZFA:0001269	ZFA:0001058	ZFA:0001389	ZP:0106166	PATO:0001555
BSPO:0000084	ZFA:0000445	ZFA:0009077	ZP:0106405	PATO:0002001
BSPO:0000084	ZFA:0000445	ZFA:0009077	ZP:0106413	PATO:0002002
BSPO:0000080	ZFA:0000445	ZFA:0009077	ZP:0106414	PATO:0002000
BSPO:0000084	ZFA:0000445	ZFA:0009077	ZP:0106415	PATO:0002000
GO:0030424	ZFA:0000368	ZFA:0000368	ZP:0106565	PATO:0000133
ZFA:0005314	ZFA:0000368	ZFA:0000368	ZP:0106567	PATO:0000133
MPATH:359	ZFA:0001094	ZFA:0009091	ZP:0106778	PATO:0002002
GO:0005929	ZFA:0000001	ZFA:0000001	ZP:0106907	PATO:0000133
BSPO:0000071	ZFA:0000075	ZFA:0009076	ZP:0107025	PATO:0001905
BSPO:0000084	ZFA:0001115	ZFA:0009091	ZP:0130677	PATO:0002002
BSPO:0000084	ZFA:0001115	ZFA:0009199	ZP:0130678	PATO:0002002
ZFA:0009000	ZFA:0005124	ZFA:0005124	ZP:0130708	PATO:0001453
BSPO:0000379	ZFA:0001115	ZFA:0009091	ZP:0130816	PATO:0002001
ZFA:0000007	ZFA:0001058	ZFA:0001058	ZP:0130847	PATO:0002269
BSPO:0000070	ZFA:0000123	ZFA:0005314	ZP:0130937	PATO:0002002
BSPO:0000084	ZFA:0000277	ZFA:0009091	ZP:0130946	PATO:0002002
BSPO:0000084	ZFA:0000277	ZFA:0009198	ZP:0130947	PATO:0002002
BSPO:0000084	ZFA:0000277	ZFA:0009199	ZP:0130948	PATO:0002002
BSPO:0000384	ZFA:0001114	ZFA:0009091	ZP:0130950	PATO:0002002
BSPO:0000384	ZFA:0001115	ZFA:0009199	ZP:0130951	PATO:0002001
BSPO:0000384	ZFA:0001115	ZFA:0009091	ZP:0130952	PATO:0002002
BSPO:0000384	ZFA:0001115	ZFA:0009198	ZP:0130953	PATO:0002002
GO:0005811	ZFA:0005145	ZFA:0005145	ZP:0131024	PATO:0002269
