affected_entity_1_super	defined_class	pato_id	quality
ZFA:0009256	ZP:0000514	PATO:0000328	
ZFA:0009256	ZP:0000515	PATO:0000586	
ZFA:0009256	ZP:0000516	PATO:0001501	
ZFA:0000013	ZP:0000518	PATO:0002011	
ZFA:0000204	ZP:0000521	PATO:0002104	
ZFA:0000641	ZP:0000522	PATO:0002011	
ZFA:0001076	ZP:0000523	PATO:0002104	
ZFA:0001094	ZP:0000524	PATO:0002129	
ZFA:0009090	ZP:0000525	PATO:0000330	
GO:0000278	ZP:0000526	PATO:0001309	
ZFA:0000008	ZP:0000527	PATO:0002105	
ZFA:0000009	ZP:0000528	PATO:0000587	
ZFA:0000014	ZP:0000529	PATO:0000608	
ZFA:0000014	ZP:0000530	PATO:0001478	
ZFA:0000014	ZP:0000531	PATO:0001483	
ZFA:0000114	ZP:0000532	PATO:0000586	
ZFA:0000471	ZP:0000535	PATO:0000586	
ZFA:0001267	ZP:0000536	PATO:0001444	
ZFA:0001285	ZP:0000537	PATO:0001478	
ZFA:0005035	ZP:0000540	PATO:0001478	
GO:0030851	ZP:0000544	PATO:0000911	
GO:0030851	ZP:0000545	PATO:0002052	
GO:0060216	ZP:0000547	PATO:0001507	
ZFA:0000737	ZP:0000551	PATO:0000052	
ZFA:0009014	ZP:0000557	PATO:0001483	
ZFA:0009015	ZP:0000558	PATO:0000462	
ZFA:0009141	ZP:0000559	PATO:0000470	
ZFA:0009250	ZP:0000560	PATO:0001997	
ZFA:0009265	ZP:0000561	PATO:0001997	
ZFA:0009323	ZP:0000562	PATO:0001997	
ZFA:0009327	ZP:0000563	PATO:0001997	
ZFA:0000737	ZP:0000564	PATO:0000587	
GO:0001756	ZP:0000565	PATO:0000502	
GO:0016339	ZP:0000566	PATO:0001507	
GO:0055113	ZP:0000567	PATO:0000502	
ZFA:0000092	ZP:0000568	PATO:0000574	
ZFA:0000084	ZP:0000569	PATO:0000411	
