defined_class	anatomical_entity
ZP:0107649	http://purl.obolibrary.org/obo/ZFA_0007084
ZP:0107650	http://purl.obolibrary.org/obo/ZFA_0000046
ZP:0107651	http://purl.obolibrary.org/obo/ZFA_0000852
ZP:0107652	http://purl.obolibrary.org/obo/ZFA_0009090
ZP:0107653	http://purl.obolibrary.org/obo/ZFA_0005914
ZP:0107654	http://purl.obolibrary.org/obo/ZFA_0005916
ZP:0107655	http://purl.obolibrary.org/obo/ZFA_0005328
ZP:0107656	http://purl.obolibrary.org/obo/ZFA_0009227
ZP:0107657	http://purl.obolibrary.org/obo/ZFA_0009106
ZP:0107658	http://purl.obolibrary.org/obo/ZFA_0005882
ZP:0107659	http://purl.obolibrary.org/obo/ZFA_0005172
ZP:0107660	http://purl.obolibrary.org/obo/ZFA_0001516
ZP:0107661	http://purl.obolibrary.org/obo/ZFA_0001229
ZP:0107662	http://purl.obolibrary.org/obo/ZFA_0007031
ZP:0107663	http://purl.obolibrary.org/obo/ZFA_0005887
ZP:0107664	http://purl.obolibrary.org/obo/ZFA_0001462
ZP:0107665	http://purl.obolibrary.org/obo/ZFA_0005594
ZP:0107666	http://purl.obolibrary.org/obo/ZFA_0005674
ZP:0107667	http://purl.obolibrary.org/obo/ZFA_0001183
ZP:0107668	http://purl.obolibrary.org/obo/ZFA_0001617
ZP:0107669	http://purl.obolibrary.org/obo/ZFA_0000143
ZP:0107670	http://purl.obolibrary.org/obo/ZFA_0001582
ZP:0107671	http://purl.obolibrary.org/obo/ZFA_0000263
ZP:0107672	http://purl.obolibrary.org/obo/ZFA_0001652
ZP:0107673	http://purl.obolibrary.org/obo/ZFA_0001465
ZP:0107674	http://purl.obolibrary.org/obo/ZFA_0001073
ZP:0107675	http://purl.obolibrary.org/obo/ZFA_0000529
ZP:0107676	http://purl.obolibrary.org/obo/ZFA_0005329
ZP:0107677	http://purl.obolibrary.org/obo/ZFA_0000856
ZP:0107678	http://purl.obolibrary.org/obo/ZFA_0005116
ZP:0107679	http://purl.obolibrary.org/obo/ZFA_0001157
ZP:0107680	http://purl.obolibrary.org/obo/ZFA_0005424
ZP:0107681	http://purl.obolibrary.org/obo/ZFA_0009078
ZP:0107682	http://purl.obolibrary.org/obo/ZFA_0005494
ZP:0107683	http://purl.obolibrary.org/obo/ZFA_0001387
ZP:0107684	http://purl.obolibrary.org/obo/ZFA_0000027
ZP:0107685	http://purl.obolibrary.org/obo/ZFA_0007107
ZP:0107686	http://purl.obolibrary.org/obo/ZFA_0000056
ZP:0107687	http://purl.obolibrary.org/obo/ZFA_0001307
ZP:0107688	http://purl.obolibrary.org/obo/ZFA_0000328
ZP:0107689	http://purl.obolibrary.org/obo/ZFA_0000264
ZP:0107690	http://purl.obolibrary.org/obo/ZFA_0001140
ZP:0107691	http://purl.obolibrary.org/obo/ZFA_0000202
ZP:0107692	http://purl.obolibrary.org/obo/ZFA_0009357
ZP:0107693	http://purl.obolibrary.org/obo/ZFA_0009309
ZP:0107694	http://purl.obolibrary.org/obo/ZFA_0000473
ZP:0107695	http://purl.obolibrary.org/obo/ZFA_0000548
ZP:0107696	http://purl.obolibrary.org/obo/ZFA_0009280
ZP:0107697	http://purl.obolibrary.org/obo/ZFA_0009075
ZP:0107698	http://purl.obolibrary.org/obo/ZFA_0001513
ZP:0107699	http://purl.obolibrary.org/obo/ZFA_0001663
ZP:0107700	http://purl.obolibrary.org/obo/ZFA_0000453
ZP:0107701	http://purl.obolibrary.org/obo/ZFA_0001405
ZP:0107702	http://purl.obolibrary.org/obo/ZFA_0009067
ZP:0107703	http://purl.obolibrary.org/obo/ZFA_0000085
ZP:0107704	http://purl.obolibrary.org/obo/ZFA_0000141
ZP:0107705	http://purl.obolibrary.org/obo/ZFA_0000220
